country,hdi,gdppc,region,incomegr,pop,cropland,grazing,forestprod,carbon,fish,builtupland,totfootprint,noearths
Afghanistan,0.46,1655,Middle East/Central Asia,LI,29.1,0.25,0.19,0.07,0.1,0,0.03,0.64,0.4
Albania,0.71,9900,Other Europe,UM,3.2,0.74,0.25,0.27,0.68,0.02,0.05,2.01,1.2
Algeria,0.72,12971,Africa,UM,37.8,0.59,0.16,0.15,0.69,0.01,0.03,1.63,0.9
Angola,0.52,7295,Africa,LM,20.2,0.43,0.09,0.12,0.13,0.08,0.05,0.9,0.5
Argentina,0.8,21304,Latin America,UM,40.7,1,0.58,0.24,0.75,0.1,0.11,2.78,1.6
Armenia,0.72,6167,Middle East/Central Asia,LM,3,0.69,0.17,0.34,0.57,0.01,0.07,1.85,1.1
Aruba,,,Latin America,HI,0.1,0.81,0.69,0.12,7.13,0.16,0,8.91,5.2
Australia,0.93,42674,Asia-Pacific,HI,22.7,2.95,0.67,0.98,3.55,0.1,0.07,8.32,4.8
Austria,0.88,42813,EU - 27,HI,8.4,0.9,0.25,0.63,3.09,0.05,0.21,5.13,3
Azerbaijan,0.74,15580,Middle East/Central Asia,UM,9.2,0.62,0.22,0.12,0.83,0.01,0.06,1.86,1.1
Bahamas,0.79,23984,Latin America,HI,0.4,0.5,0.33,0.13,3.7,0.13,0.04,4.83,2.8
Bahrain,0.81,45912,Middle East/Central Asia,HI,1.3,0.47,0.47,0.2,4.97,0.03,0.1,6.24,3.6
Bangladesh,0.55,2787,Asia-Pacific,LI,152.9,0.31,0,0.08,0.17,0.02,0.07,0.65,0.4
Barbados,0.78,15625,Latin America,HI,0.3,0.58,0.29,0.18,2.97,0.22,0.04,4.28,2.5
Belarus,0.78,16589,Other Europe,UM,9.5,1.17,0.11,0.5,1.73,0.06,0.08,3.65,2.1
Belgium,0.88,40010,EU - 27,HI,11,1.19,0.45,0.65,3.12,0.1,0.26,5.77,3.4
Benin,0.47,1645,Africa,LI,9.8,0.44,0.05,0.26,0.37,0.06,0.03,1.21,0.7
Bermuda,,,North America,HI,0.1,0.76,0.94,0,8.02,0.29,0,10.01,5.8
Bhutan,0.58,6441,Asia-Pacific,LM,0.7,0.5,0.32,2.74,0.25,0.02,0.28,4.11,2.4
Bolivia,0.66,5305,Latin America,LM,10.3,0.41,1.6,0.16,0.47,0.01,0.06,2.71,1.6
Bosnia and Herzegovina,0.73,9147,Other Europe,UM,3.8,0.66,0.25,0.44,1.27,0.01,0.02,2.65,1.5
Botswana,0.68,13681,Africa,UM,2,0.28,0.83,0.19,1.8,0.01,0.02,3.13,1.8
Brazil,0.74,14267,Latin America,UM,196.9,0.66,0.82,0.61,0.61,0.04,0.11,2.85,1.7
British Virgin Islands,,,Latin America,,0,0.02,0.1,0.16,1.1,0.19,0,1.57,0.9
Brunei Darussalam,0.85,74396,Asia-Pacific,HI,0.4,0.29,0.15,0.25,3.94,0.08,0.02,4.73,2.8
Bulgaria,0.77,15568,EU - 27,UM,7.3,0.59,0.12,0.34,1.42,0.03,0.14,2.64,1.5
Burkina Faso,0.38,1445,Africa,LI,16,0.41,0.16,0.36,0.07,0.02,0.05,1.07,0.6
Burundi,0.38,820,Africa,LI,9.5,0.19,0.06,0.44,0.03,0,0.03,0.75,0.4
Cameroon,0.5,2638,Africa,LM,21.2,0.53,0.1,0.21,0.15,0.07,0.05,1.11,0.6
Canada,0.9,41291,North America,HI,34.5,1.16,0.24,1.12,3.73,0.12,0.2,6.57,3.8
Cape Verde,0.63,6206,Africa,LM,0.5,0.36,0.07,0.18,1.39,0.2,0,2.2,1.3
Cayman Islands,,,Latin America,HI,0.1,0.33,0.4,0.28,2.72,0.06,0,3.79,2.2
Central African Republic,0.36,913,Africa,LI,4.4,0.28,0.52,0.26,0.06,0.02,0.03,1.17,0.7
Chad,0.37,2186,Africa,LI,12.1,0.25,0.75,0.27,0,0.01,0.03,1.31,0.8
Chile,0.81,20211,Latin America,UM,17.3,0.72,0.44,1.02,1.26,0.3,0.16,3.9,2.3
China,0.71,10006,Asia-Pacific,UM,1399.3,0.51,0.12,0.18,1.49,0.07,0.12,2.49,1.4
Colombia,0.71,11619,Latin America,UM,47.1,0.32,0.6,0.16,0.46,0.03,0.1,1.67,1
Comoros,0.48,1531,Africa,LI,0.7,0.28,0.03,0.17,0.15,0.35,0,0.98,0.6
Congo,0.55,5914,Africa,LM,4.2,0.27,0.08,0.32,0.25,0.08,0.03,1.03,0.6
Congo DR,0.32,579,Africa,LI,63.9,0.13,0.01,0.51,0.06,0.01,0.04,0.76,0.4
Costa Rica,0.76,13096,Latin America,UM,4.7,0.35,0.2,0.62,0.91,0.05,0.09,2.22,1.3
Cote d'Ivoire,0.44,2313,Africa,LM,19.4,0.41,0.07,0.22,0.14,0.11,0.07,1.02,0.6
Croatia,0.81,20196,Other Europe,HI,4.3,0.81,0.18,0.62,1.51,0.06,0.06,3.24,1.9
Cuba,0.82,,Latin America,UM,11.3,0.49,0.09,0.09,0.86,0.02,0.02,1.57,0.9
Cyprus,0.85,30826,EU - 27,HI,1.1,0.86,0.09,0.3,2.17,0.12,0.05,3.59,2.1
Czech Republic,0.86,27071,EU - 27,HI,10.6,0.82,0.25,0.68,2.57,0.03,0.15,4.5,2.6
Denmark,0.9,41906,EU - 27,HI,5.6,0.58,0.52,0.95,1.81,0.21,0.21,4.28,2.5
Dominica,0.72,10076,Latin America,UM,0.1,0.62,0.09,0.12,0.98,0.2,0,2.01,1.2
Dominican Republic,0.69,11372,Latin America,UM,10.2,0.38,0.11,0.12,0.59,0.03,0.04,1.27,0.7
Ecuador,0.71,9932,Latin America,UM,15.3,0.31,0.28,0.25,0.72,0.09,0.08,1.73,1
Egypt,0.68,10601,Africa,LM,79.4,0.63,0.07,0.18,0.67,0.04,0.15,1.74,1
El Salvador,0.66,7348,Latin America,LM,6.3,0.38,0.18,0.39,0.58,0.13,0.03,1.69,1
Equatorial Guinea,0.55,35183,Africa,HI,0.7,0.25,0.02,0.43,1.5,0.15,0.02,2.37,1.4
Eritrea,0.38,1140,Africa,LI,5.9,0.12,0.18,0.08,0.02,0.01,0.02,0.43,0.3
Estonia,0.84,23540,EU - 27,HI,1.3,1.06,0.14,1.92,2.22,0.01,0.11,5.46,3.2
Ethiopia,0.42,1213,Africa,LI,89.4,0.29,0.1,0.46,0.04,0,0.05,0.94,0.5
Fiji,0.72,7228,Asia-Pacific,LM,0.9,0.47,0.18,0.43,0.78,0.66,0.04,2.56,1.5
France,0.88,38657,EU - 27,HI,63.6,1.02,0.24,0.54,1.99,0.17,0.2,4.16,2.4
French Guiana,,,Latin America,,0.2,0.06,0.04,0.45,1.21,0.16,0,1.92,1.1
French Polynesia,,24779,Asia-Pacific,HI,0.3,0.78,0.66,0.21,1.88,0.65,0,4.18,2.4
Gabon,0.67,18359,Africa,UM,1.6,0.48,0.1,1.4,0.34,0.11,0.03,2.46,1.4
Gambia,0.44,1499,Africa,LI,1.7,0.4,0.06,0.2,0.29,0.08,0.02,1.05,0.6
Georgia,0.74,6343,Middle East/Central Asia,LM,4.4,0.36,0.17,0.13,0.52,0.03,0.04,1.25,0.7
Germany,0.91,41730,EU - 27,HI,82.9,1.03,0.15,0.5,2.45,0.05,0.19,4.37,2.5
Ghana,0.57,3519,Africa,LM,24.8,0.43,0.07,0.63,0.31,0.18,0.06,1.68,1
Greece,0.85,27045,EU - 27,HI,11.1,1.11,0.38,0.33,1.96,0.07,0.06,3.91,2.3
Grenada,0.75,11221,Latin America,UM,0.1,0.66,0.1,0.09,1.46,0.38,0,2.69,1.6
Guadeloupe,,,Latin America,,0.5,0.12,0.02,0.16,1.87,0.3,0,2.47,1.4
Guatemala,0.62,6943,Latin America,LM,14.7,0.37,0.17,0.6,0.49,0.01,0.05,1.69,1
Guinea,0.39,1265,Africa,LI,11.2,0.35,0.29,0.45,0.09,0.02,0.04,1.24,0.7
Guinea-Bissau,0.4,1457,Africa,LI,1.6,0.24,0.35,0.67,0.06,0,0.05,1.37,0.8
Guyana,0.63,5818,Latin America,LM,0.8,0.64,0.16,0.76,0.72,0.04,0.06,2.38,1.4
Haiti,0.47,1580,Latin America,LI,10,0.25,0.04,0.11,0.11,0.01,0.02,0.54,0.3
Honduras,0.61,4345,Latin America,LM,7.8,0.3,0.25,0.51,0.4,0,0.06,1.52,0.9
Hungary,0.82,22381,EU - 27,HI,10,0.79,0.08,0.38,1.39,0.02,0.15,2.81,1.6
India,0.58,4924,Asia-Pacific,LM,1221.2,0.34,0.01,0.12,0.38,0.01,0.05,0.91,0.5
Indonesia,0.68,8535,Asia-Pacific,LM,243.8,0.43,0.03,0.19,0.43,0.2,0.05,1.33,0.8
Iran,0.73,17488,Middle East/Central Asia,UM,75.4,0.59,0.11,0.08,1.15,0.1,0.07,2.1,1.2
Iraq,0.64,12881,Middle East/Central Asia,LM,31.8,0.4,0.03,0.01,1.07,0.01,0.04,1.56,0.9
Ireland,0.9,45194,EU - 27,HI,4.5,0.92,0.38,0.4,2.65,0.13,0.16,4.64,2.7
Israel,0.88,31104,Middle East/Central Asia,HI,7.5,0.89,0.28,0.34,3.09,0.06,0.08,4.74,2.8
Italy,0.87,34635,EU - 27,HI,60.8,0.95,0.37,0.45,2.2,0.11,0.07,4.15,2.4
Jamaica,0.71,8324,Latin America,UM,2.8,0.44,0.09,0.18,0.86,0.07,0.04,1.68,1
Japan,0.89,34295,Asia-Pacific,HI,127.3,0.51,0.1,0.26,2.51,0.33,0.09,3.8,2.2
Jordan,0.74,11162,Middle East/Central Asia,UM,6.7,0.39,0.15,0.17,0.64,0.03,0.08,1.46,0.8
Kazakhstan,0.75,20626,Middle East/Central Asia,UM,16.1,1.77,0.16,0.12,3.4,0.03,0.08,5.56,3.2
Kenya,0.53,2818,Africa,LI,42,0.24,0.23,0.28,0.14,0.05,0.04,0.98,0.6
North Korea,,,Asia-Pacific,LI,24.6,0.26,0,0.14,0.67,0.02,0.06,1.15,0.7
South Korea,0.89,31327,Asia-Pacific,HI,48.7,0.68,0.14,0.23,2.95,0.42,0.06,4.48,2.6
Kuwait,0.81,67131,Middle East/Central Asia,HI,3.1,0.52,0.13,0.22,7.77,0.07,0.14,8.85,5.1
Kyrgyzstan,0.62,2911,Middle East/Central Asia,LI,5.4,0.58,0.14,0.08,0.54,0.01,0.09,1.44,0.8
Laos,0.56,4022,Asia-Pacific,LM,6.5,0.51,0.07,0.38,0.09,0.01,0.1,1.16,0.7
Latvia,0.8,19826,EU - 27,UM,2.1,2.18,0.08,1.83,1.16,0.22,0.11,5.58,3.2
Lebanon,0.76,16431,Middle East/Central Asia,UM,4.5,0.65,0.35,0.25,1.68,0.05,0.05,3.03,1.8
Lesotho,0.48,2401,Africa,LM,2,0.19,0.46,0.39,0.07,0,0.01,1.12,0.7
Liberia,0.4,768,Africa,LI,4.1,0.2,0.03,0.75,0.09,0.02,0.03,1.12,0.7
Libya,0.75,11664,Africa,UM,6.1,0.56,0.23,0.09,1.2,0.08,0.02,2.18,1.3
Lithuania,0.83,22521,EU - 27,UM,3,1.05,0.25,1.16,1.58,0.25,0.09,4.38,2.5
Macedonia TFYR,0.73,11938,Other Europe,UM,2.1,0.66,0.17,0.32,1.5,0.03,0.03,2.71,1.6
Madagascar,0.49,1356,Africa,LI,21.7,0.26,0.33,0.24,0.04,0.02,0.05,0.94,0.5
Malawi,0.41,715,Africa,LI,15.5,0.39,0.04,0.2,0.05,0,0.05,0.73,0.4
Malaysia,0.77,20876,Asia-Pacific,UM,28.8,0.66,0.13,0.35,1.4,0.32,0.08,2.94,1.7
Mali,0.4,1510,Africa,LI,14.4,0.48,0.67,0.17,0.07,0.03,0.05,1.47,0.9
Martinique,,,Latin America,,0.4,0.13,0.01,0.12,1.21,0.06,0.04,1.57,0.9
Mauritania,0.48,2834,Africa,LM,3.7,0.29,1.04,0.2,0.41,0.08,0.04,2.06,1.2
Mauritius,0.76,15724,Africa,UM,1.2,0.57,0.2,0.18,1.49,0.55,0,2.99,1.7
Mexico,0.75,16392,Latin America,UM,119.4,0.49,0.23,0.25,1.33,0.05,0.04,2.39,1.4
Moldova,0.66,4179,Other Europe,LM,3.5,0.68,0.06,0.13,0.72,0.05,0.05,1.69,1
Mongolia,0.68,7409,Asia-Pacific,LM,2.8,0.28,2.73,0.16,1.31,0,0.05,4.53,2.6
Montenegro,0.79,14129,Other Europe,UM,0.6,0.71,0.43,0.52,1.63,0.04,0.01,3.34,1.9
Morocco,0.61,6782,Africa,LM,32.1,0.66,0.17,0.14,0.45,0.05,0.04,1.51,0.9
Mozambique,0.38,926,Africa,LI,24.6,0.34,0.02,0.29,0.12,0.02,0.06,0.85,0.5
Myanmar,0.52,3683,Asia-Pacific,LI,52.4,0.9,0.01,0.31,0.05,0.09,0.12,1.48,0.9
Namibia,0.62,9193,Africa,UM,2.2,0.27,0.58,0.15,0.94,0.29,0.02,2.25,1.3
Nepal,0.53,2044,Asia-Pacific,LI,27.2,0.38,0.07,0.21,0.12,0,0.09,0.87,0.5
Netherlands,0.91,46309,EU - 27,HI,16.7,0.81,0.55,0.38,2.43,0.12,0.16,4.45,2.6
New Caledonia,,,Asia-Pacific,HI,0.3,0.64,0.6,0.27,1.13,0.32,0,2.96,1.7
New Zealand,0.9,31368,Asia-Pacific,HI,4.4,0.52,0.87,0.96,1.97,0.59,0.19,5.1,3
Nicaragua,0.61,4150,Latin America,LM,5.9,0.37,0.11,0.42,0.36,0.04,0.05,1.35,0.8
Niger,0.33,876,Africa,LI,16.5,0.83,0.47,0.26,0.05,0.03,0.04,1.68,1
Nigeria,0.5,5342,Africa,LM,164.2,0.45,0.09,0.2,0.17,0.08,0.04,1.03,0.6
Norway,0.94,61648,Other Europe,HI,4.9,1.23,0.16,1.14,0.69,1.11,0.44,4.77,2.8
Pakistan,0.53,4282,Asia-Pacific,LM,176.2,0.29,0.01,0.08,0.24,0.01,0.05,0.68,0.4
Panama,0.76,15940,Latin America,UM,3.7,0.35,0.39,0.19,1.18,0.48,0.02,2.61,1.5
Papua New Guinea,0.48,2075,Asia-Pacific,LI,7,0.25,0.04,0.43,0.51,0.44,0.13,1.8,1
Paraguay,0.67,7198,Latin America,LM,6.6,1.58,0.87,0.83,0.7,0.01,0.17,4.16,2.4
Peru,0.73,10292,Latin America,UM,29.6,0.46,0.49,0.19,0.46,0.39,0.08,2.07,1.2
Philippines,0.65,5773,Asia-Pacific,LM,95.1,0.35,0.03,0.09,0.26,0.22,0.05,1,0.6
Poland,0.83,21751,EU - 27,HI,38.2,0.84,0.04,0.79,2.03,0.05,0.08,3.83,2.2
Portugal,0.82,25672,EU - 27,HI,10.6,1.02,0.25,0.18,1.54,0.29,0.06,3.34,1.9
Qatar,0.84,149642,Middle East/Central Asia,HI,1.9,0.32,0.15,0.14,6.09,0.2,0.06,6.96,4
Romania,0.78,16142,EU - 27,UM,21.8,0.98,0.05,0.29,0.99,0.02,0.17,2.5,1.5
Russian Federation,0.78,22564,Other Europe,UM,143.4,0.92,0.12,0.44,2.75,0.18,0.05,4.46,2.6
Rwanda,0.46,1446,Africa,LI,11.1,0.41,0.05,0.25,0.05,0.01,0.05,0.82,0.5
Saint Kitts and Nevis,0.74,19397,Latin America,UM,0.1,0.46,0.18,0.11,2.4,1.45,0,4.6,2.7
Saint Lucia,0.72,11327,Latin America,UM,0.2,0.38,0.11,0.25,1.19,0.23,0,2.16,1.3
Samoa,0.69,4941,Asia-Pacific,LM,0.2,0.83,0.07,0.25,0.87,0.38,0,2.4,1.4
Sao Tome and Principe,0.55,3078,Africa,,0.2,0.39,0.05,0.27,0.27,0.36,0,1.34,0.8
Saudi Arabia,0.83,48163,Middle East/Central Asia,HI,27.8,0.64,0.23,0.3,2.71,0.07,0.05,4,2.3
Senegal,0.48,2151,Africa,LM,13.3,0.26,0.24,0.21,0.18,0.1,0.02,1.01,0.6
