"ISO3Code","CountryName","u5mr","u5deaths","arr9015","u5mrproj","u5dproj"
"AFG","Afghanistan",91.1,94261,2.74615690799965,60.6,63926
"AGO","Angola",156.9,169310,1.4597053581332,113.6,166243
"ALB","Albania",14,618,4.25884294796971,7.5,241
"AND","Andorra",2.8,2,4.44178698526045,2.3,1
"ARE","United Arab Emirates",6.8,661,3.5457510748979,4.2,376
"ARG","Argentina",12.5,9513,3.1683485136594,7.7,5623
"ARM","Armenia",14.1,577,5.04736074658594,6.6,179
"ATG","Antigua and Barbuda",8.1,12,4.58725756194395,4.2,6
"AUS","Australia",3.8,1146,3.53680966929062,2.3,773
"AUT","Austria",3.5,288,3.99411532044451,2.3,189
"AZE","Azerbaijan",31.7,7206,4.37758927723519,13.6,1804
"BDI","Burundi",81.7,36970,2.97310803073679,43.9,24730
"BEL","Belgium",4.1,522,3.56639247713513,2.9,367
"BEN","Benin",99.5,37092,2.36007025505515,68.4,30818
"BFA","Burkina Faso",88.6,60477,3.30050179590134,42.3,37639
"BGD","Bangladesh",37.6,119326,5.36289497075652,16.1,43568
"BGR","Bulgaria",10.4,634,3.01508720950552,5.2,277
"BHR","Bahrain",6.2,135,5.24377969551242,3.1,51
"BHS","Bahamas",12.1,70,2.65517987418967,9.3,51
"BIH","Bosnia and Herzegovina",5.4,169,4.88200842510859,3.2,83
"BLR","Belarus",4.6,567,5.13338556746979,2.3,195
"BLZ","Belize",16.5,138,3.5018749494156,10.9,94
"BOL","Bolivia (Plurinational State of)",38.4,9415,4.70177888284559,18.4,4637
"BRA","Brazil",16.4,52415,5.24123381656787,8.4,22307
"BRB","Barbados",13,44,1.27940542154069,10.4,33
"BRN","Brunei Darussalam",10.2,77,0.716192925795942,10.2,59
"BTN","Bhutan",32.9,414,5.60850330534628,13.6,157
"BWA","Botswana",43.6,2488,0.870495032362448,22.9,1160
"CAF","Central African Republic",130.1,21029,1.22006996341957,96.8,16532
"CAN","Canada",4.9,1824,2.10808123874388,3.9,1557
"CHE","Switzerland",3.9,334,2.97263040453843,2.7,250
"CHL","Chile",8.1,1896,3.43129709349676,6,1323
"CHN","China",10.7,181574,6.46011890279951,3.1,39180
"CIV","Cote d'Ivoire",92.6,75393,1.99812390879289,58.9,59210
"CMR","Cameroon",87.9,71348,1.80421552186429,51.4,48731
"COD","Democratic Republic of the Congo",98.3,304558,2.561628847723,60,246468
"COG","Congo",45,7269,2.92947157485291,16.7,3423
"COK","Cook Islands",8.1,3,4.41087628248305,3.9,1
"COL","Colombia",15.9,11934,3.16752808498254,10.1,6544
"COM","Comoros",73.5,1897,2.1273120450163,53.4,1532
"CPV","Cabo Verde",24.5,267,3.75875332035277,16.9,160
"CRI","Costa Rica",9.7,663,2.22075094567876,7.2,448
"CUB","Cuba",5.5,647,3.53206377195713,3.6,348
"CYP","Cyprus",2.7,35,5.65477334123202,2.3,29
"CZE","Czech Republic",3.4,328,5.8289843883687,2.3,207
"DEU","Germany",3.7,2545,3.32693337538437,2.5,1638
"DJI","Djibouti",65.3,1429,2.41394865870447,42.3,844
"DMA","Dominica",21.2,23,-0.85969087267741,21.2,18
