"CountryName","Code","ISO3Code","UNCode","UNICEFCode","MDGRegion1","MDGRegion1excl","MDGRegion2","MDGRegion3","MDGRegion4","MDGRegion5","UNICEFRegion1","UNICEFRegion2","UNICEFRegion3","UNICEFRegion4","UNICEFRegion5","UNICEFRegion6","WHORegion1","WBRegion1","WBRegion2","WBRegion3","WBRegion4","UNPDRegion1","UNPDRegion2","UNPDRegion3","UNPDRegion4","UNPDRegion5","OICRegion1","OICRegion2","OICRegion3","OICRegion4","Countdown.and.COIA.75.Priority.Countries","ECAAfrica","AURegion1","AURegion2","FragileCountries2013","FragileCountries2014","FragileCountries2015","USAIDcountry","M49Region1","M49Region2","M49Region3","UNICEFCountry","ARR 1990-2015 median","ARR 1990-2000 median","ARR 2000-2015 median","Required ARR median","Change in ARR median","Percentage decline 1990-2015 median","Percentage decline 1990-2000 median","Percentage decline 2000-2015 median"
"Afghanistan",67,"AFG",4,"AFG","Southern Asia","Southern Asia excluding India","Developing regions","","Least developed countries","","South Asia","South Asia","Asia","Developing countries","Least developed countries","","Eastern Mediterranean","Low income","South Asia","Low income","Low and middle income","Asia","","Less developed regions","Least developed countries","Excluding China","OIC","Asia/other","OIC Low income","","Countdown","","","","Fragile","Fragile","Fragile","USAID","Asia","Southern Asia","",1,2.74615690799965,2.78516105437701,2.72015414374808,,-0.0650069106289264,49.6685082872928,24.3093922651934,33.5036496350365
"Albania",146,"ALB",8,"ALB","Developed regions","Developed regions","Developed regions","","","","CEE/CIS","CEE/CIS","","","","","Europe","Upper middle income","Europe and Central Asia","Middle income","Low and middle income","Europe","","More developed regions","More developed regions","","OIC","Asia/other","OIC Lower middle income","OIC Middle income","","","","","Non-fragile","Non-fragile","Non-fragile","","Europe","Southern Europe","",1,4.25884294796971,4.38008655840636,4.17801387434528,,-0.202072684061074,65.5172413793103,35.4679802955665,46.5648854961832
"Algeria",50,"DZA",12,"ALG","Northern Africa","Northern Africa","Developing regions","North Africa","","","Middle East and North Africa","Middle East and North Africa","Africa","Developing countries","","North Africa","Africa","Upper middle income","Middle East and North Africa","Middle income","Low and middle income","Africa","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Arab","OIC Upper middle income","OIC Middle income","","North Africa","Africa","Northern Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Northern Africa","",1,2.42881900303688,1.64532015230456,2.95115157019176,,1.3058314178872,45.5128205128205,15.1709401709402,35.7682619647355
"Andorra",167,"AND",20,"AND","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: nonOECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Southern Europe","",1,4.44178698526045,6.14009860001222,3.30957924209261,,-2.83051935791961,67.0588235294118,45.8823529411765,39.1304347826087
"Angola",1,"AGO",24,"ANG","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","South Africa","Least developed countries","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Upper middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","Southern Africa","Africa","Southern Africa","Fragile","Non-fragile","Non-fragile","","Africa","Middle Africa","",1,1.4597053581332,0.420210907299725,2.15270165868884,,1.73249075138912,30.575221238938,4.11504424778762,27.5957544993078
"Antigua & Barbuda",105,"ATG",28,"ANT","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Caribbean","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","High income: nonOECD","","High income","","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Caribbean",1,4.58725756194395,4.9783842823918,4.32650641497872,,-0.651877867413077,68.235294117647,39.2156862745098,47.741935483871
"Azerbaijan",138,"AZE",31,"AZE","Caucasus and Central Asia","Caucasus and Central Asia","Developing regions","","","","CEE/CIS","CEE/CIS","","Developing countries","","","Europe","Upper middle income","Europe and Central Asia","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Asia/other","OIC Upper middle income","OIC Middle income","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Western Asia","",1,4.37758927723519,2.46648906987863,5.65165608213957,,3.18516701226094,66.5258711721225,21.8585005279831,57.1621621621622
"Argentina",106,"ARG",32,"ARG","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","High income: nonOECD","","High income","","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","South America",1,3.1683485136594,3.12133168315945,3.19969306732602,,0.0783613841665702,54.7101449275362,26.8115942028986,38.1188118811881
"Australia",169,"AUS",36,"AUS","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Western Pacific","High income: OECD","","High income","","Oceania","","More developed regions","More developed regions","","","","","","","","","","","","","","Oceania","Australia and New Zealand","",1,3.53680966929062,3.94654192003949,3.26365483545804,,-0.682887084581447,58.695652173913,32.6086956521739,38.7096774193548
"Austria",168,"AUT",40,"ATR","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Western Europe","",1,3.99411532044451,5.4654370636807,3.01323415828705,,-2.45220290539365,63.1578947368421,42.1052631578947,36.3636363636364
