"Unique Key","Created Date","Closed Date","Complaint Type","Location"
8821836,"07/06/2007 12:00:00 AM","07/11/2007 12:00:00 AM","PLUMBING","(40.66930820404265, -73.87041847755117)"
3877669,"04/04/2007 12:00:00 AM","04/05/2007 12:00:00 AM","Noise","(40.82856998386493, -73.91893289667789)"
6962104,"01/31/2007 12:00:00 AM","02/08/2007 12:00:00 AM","HEATING","(40.75495459687344, -73.82943279597426)"
9777438,"11/07/2007 12:00:00 AM","11/09/2007 12:00:00 AM","GENERAL CONSTRUCTION","(40.674093998168665, -73.91669807054674)"
9398238,"09/19/2007 12:00:00 AM","09/19/2007 12:00:00 AM","Noise - Commercial","(40.822251086246176, -73.94053596587851)"
3892593,"04/09/2007 12:00:00 AM","04/06/2007 12:00:00 AM","Street Light Condition","(40.67749652364428, -73.8953183693725)"
9749256,"11/03/2007 12:00:00 AM","11/07/2007 12:00:00 AM","HEATING","(40.84229487094838, -73.91693922160907)"
4201299,"06/11/2007 12:00:00 AM","06/12/2007 12:00:00 AM","Street Condition","(40.684011083411114, -73.85364914403874)"
9168850,"08/23/2007 12:00:00 AM","11/08/2007 12:00:00 AM","Street Light Condition","(40.85115763524267, -73.90977114828108)"
3954880,"04/24/2007 12:00:00 AM","04/24/2007 12:00:00 AM","Sewer","(40.5835408567521, -73.95710765541358)"
3725419,"03/02/2007 12:00:00 AM","03/02/2007 12:00:00 AM","Sewer","(40.63259030750193, -73.90622966912453)"
5388252,"04/20/2007 12:00:00 AM","04/20/2007 12:00:00 AM","Sanitation Condition",""
6695772,"04/18/2007 12:00:00 AM","05/11/2007 12:00:00 AM","NONCONST","(40.65382058822419, -73.95532896803373)"
9956483,"11/29/2007 12:00:00 AM","11/30/2007 12:00:00 AM","Other Enforcement","(40.604955549192596, -74.00028090279169)"
9878764,"11/19/2007 12:00:00 AM","01/30/2008 12:00:00 AM","General Construction/Plumbing","(40.693774151226755, -73.95013102951438)"
8983120,"07/29/2007 12:00:00 AM","08/27/2007 12:00:00 AM","GENERAL CONSTRUCTION","(40.66821332136448, -73.89491839423789)"
8366423,"05/25/2007 12:00:00 AM","06/25/2007 12:00:00 AM","NONCONST","(40.66410622018084, -73.9772771601736)"
9609277,"10/17/2007 12:00:00 AM","10/17/2007 12:00:00 AM","Industrial Waste","(40.68772388563791, -73.8405916282712)"
9519663,"10/04/2007 12:00:00 AM","10/03/2007 12:00:00 AM","Street Light Condition","(40.7544126796351, -73.71723205621174)"
3914148,"04/15/2007 12:00:00 AM","04/15/2007 12:00:00 AM","Sewer","(40.6848108023367, -73.86808795736161)"
3930714,"04/19/2007 12:00:00 AM","07/12/2011 12:00:00 AM","Consumer Complaint","(40.89193585748722, -73.8581754242745)"
9336100,"09/08/2007 12:00:00 AM","09/08/2007 12:00:00 AM","Dirty Conditions","(40.7590946391406, -73.89737036110441)"
