year,state,atkin05,gini,rmeandev,theil,top10,top1
1916,"United States",.3312921,.602384,.9411702,1.084234,.5481992,.2503309
1916,"Alabama",.1442112,.4116074,.6153817,.3563781,.3471521,.0983818
1916,"Alaska",,,,,,
1916,"Arizona",.2252908,.5117952,.7812705,.6011364,.4410396,.1538891
1916,"Arkansas",.1195371,.3720533,.5530583,.2935868,.3215204,.0842085
1916,"California",.2352396,.5124854,.78378,.6659498,.4578648,.1689906
1916,"Colorado",.2539195,.5343972,.8140519,.737223,.4680514,.18301
1916,"Connecticut",.284364,.5671932,.8723629,.8506192,.4979232,.1961402
1916,"Delaware",.6042781,.8196909,1.381789,2.188781,.7897191,.4410066
1916,"District of Columbia",.2330969,.5094494,.7944561,.6457087,.4612435,.161573
1916,"Florida",.2237127,.4824858,.7276761,.7062131,.4322207,.1919678
1916,"Georgia",.1755977,.4426274,.6670257,.4871335,.3852955,.1228969
1916,"Hawaii",,,,,,
1916,"Idaho",.2276119,.4939897,.7442978,.661686,.4442448,.1714342
1916,"Illinois",.2999216,.5739161,.8934107,.9252393,.5219231,.2217175
1916,"Indiana",.2351728,.5081421,.7742358,.6780295,.4560424,.1779575
1916,"Iowa",.1434112,.3959424,.5951692,.3770928,.3564207,.1088406
1916,"Kansas",.1916737,.4560673,.6886464,.5344309,.4106191,.1505064
1916,"Kentucky",.1836188,.4625846,.7016679,.4714574,.4002393,.113197
1916,"Louisiana",.2213078,.5097754,.7794427,.5767491,.4421576,.1326737
1916,"Maine",.2109271,.4940541,.7540593,.5558346,.4327012,.1333512
1916,"Maryland",.2551426,.5377126,.8259027,.7382143,.4704512,.1755531
1916,"Massachusetts",.3111918,.5978964,.9334998,.8993071,.5345528,.2029372
1916,"Michigan",.2924823,.5763796,.8916593,.8577703,.5141897,.1976534
1916,"Minnesota",.2648273,.5489204,.8515323,.7452213,.4908316,.1745903
1916,"Mississippi",.161708,.444403,.6696671,.3877654,.359544,.0918854
1916,"Missouri",.2502532,.5298505,.8154725,.71722,.4718194,.1778063
