"Unique Key","Created Date","Closed Date","Complaint Type","Location"
2408778,"08/09/2006 12:00 AM","08/10/2006 12:00 AM","Traffic Signal Condition","(40.6346733436387, -73.99606560963456)"
7425320,"12/12/2006 12:00 AM","12/15/2006 12:00 AM","HEATING","(40.84043357320546, -73.91640666366692)"
1740686,"10/04/2006 12:00 AM","10/05/2006 12:00 AM","DCA / DOH New License Application Request",""
8373872,"06/07/2006 12:00 AM","06/14/2006 12:00 AM","PLUMBING","(40.77539447577492, -73.95582510015075)"
7810064,"12/09/2006 12:00 AM","12/14/2006 12:00 AM","HEATING","(40.81178153323563, -73.90249835817075)"
7973203,"12/13/2006 12:00 AM","12/14/2006 12:00 AM","APPLIANCE","(40.59066593680723, -74.1549676325636)"
6491304,"05/23/2006 12:00 AM","05/25/2006 12:00 AM","Missed Collection (All Materials)","(40.718728362195165, -73.82516046460094)"
988739,"03/15/2006 12:00 AM","03/20/2006 12:00 AM","Street Condition","(40.768595042659975, -73.98521636785432)"
39553,"09/20/2006 12:00 AM","09/20/2006 12:00 AM","Vending","(40.71415382687169, -73.99740280315547)"
4754960,"08/01/2006 12:00 AM","09/16/2006 12:00 AM","General Construction/Plumbing","(40.64288561882915, -74.0066590185477)"
1169772,"07/14/2006 12:00 AM","07/13/2006 12:00 AM","Street Light Condition",""
4691322,"10/23/2006 12:00 AM","10/27/2006 12:00 AM","General Construction/Plumbing","(40.6169538125015, -74.08225088657117)"
1959788,"10/28/2006 12:00 AM","12/18/2007 12:00 AM","Damaged Tree","(40.627930414245824, -74.02032202742004)"
7540829,"01/23/2006 12:00 AM","01/29/2006 12:00 AM","ELECTRIC","(40.69655501981312, -73.9298725504513)"
431059,"06/12/2006 12:00 AM","06/24/2006 12:00 AM","Broken Muni Meter","(40.758165865864136, -73.97437904955176)"
2399628,"04/04/2006 12:00 AM","04/04/2006 12:00 AM","Traffic Signal Condition","(40.68986342464845, -73.95146453307221)"
3408773,"01/04/2006 12:00 AM","01/04/2006 12:00 AM","Water System","(40.722069137616074, -73.98818856611241)"
8207917,"11/01/2006 12:00 AM","12/20/2006 12:00 AM","PLUMBING","(40.861566680800784, -73.92688229956134)"
7855427,"09/07/2006 12:00 AM","10/08/2006 12:00 AM","GENERAL CONSTRUCTION","(40.85100126835157, -73.90642781729716)"
7678057,"10/30/2006 12:00 AM","11/02/2006 12:00 AM","HEATING","(40.73896026359565, -73.98727260586962)"
7493407,"10/22/2006 12:00 AM","10/23/2006 12:00 AM","HEATING","(40.83392697527902, -73.94028702542985)"
6534774,"07/14/2006 12:00 AM","07/15/2006 12:00 AM","Sanitation Condition","(40.61387361884953, -74.13272274066493)"
1986289,"05/22/2006 12:00 AM","05/23/2006 12:00 AM","Street Light Condition",""
1910951,"03/27/2006 12:00 AM","03/27/2006 12:00 AM","Smoking","(40.73072344111918, -73.9890529796862)"
158411,"11/20/2006 12:00 AM","11/20/2006 12:00 AM","Vending","(40.768544222783824, -73.96569261245394)"
5505501,"09/25/2006 12:00 AM","09/26/2006 12:00 AM","Sanitation Condition","(40.60052547162151, -73.94388438376512)"
623562,"02/28/2006 12:00 AM","03/02/2006 12:00 AM","Street Light Condition","(40.63682472274916, -74.0117603152019)"
8662074,"03/30/2006 12:00 AM","04/18/2006 12:00 AM","GENERAL CONSTRUCTION","(40.8359559809235, -73.88362767691928)"
113138,"04/29/2006 12:00 AM","04/29/2006 12:00 AM","Overgrown Tree/Branches","(40.640560142765835, -73.93691447854937)"
446847,"08/02/2006 12:00 AM","08/07/2006 12:00 AM","Street Sign - Damaged","(40.88403476236139, -73.89796587318172)"
123654,"06/25/2006 12:00 AM","06/25/2006 12:00 AM","Noise - Street/Sidewalk","(40.831207333715824, -73.86334580021105)"
4325480,"10/27/2006 12:00 AM","10/30/2006 12:00 AM","Electrical","(40.68094247861845, -73.94442963665021)"
8517287,"11/08/2006 12:00 AM","01/12/2007 12:00 AM","PLUMBING","(40.66970559145514, -73.95788495694359)"
2672966,"12/03/2006 12:00 AM","12/25/2006 12:00 AM","Taxi Complaint","(40.71929720847382, -74.00869767338959)"
7026934,"01/14/2006 12:00 AM","01/22/2006 12:00 AM","HEATING","(40.73981725085591, -73.76142746219264)"
1362857,"06/30/2006 12:00 AM","06/30/2006 12:00 AM","Traffic Signal Condition","(40.86877628116092, -73.83172600531215)"
