"country","region"
"Albania","C&E Europe"
"Algeria","Africa"
"Angola","Africa"
"Argentina","S. America"
"Armenia","C&E Europe"
"Australia","Asia-Pacific"
"Austria","W. Europe"
"Azerbaijan","C&E Europe"
"Bahrain","Middle East"
"Bangladesh","Asia-Pacific"
"Belarus","C&E Europe"
"Belgium","W. Europe"
"Benin","Africa"
"Bhutan","Asia-Pacific"
"Bolivia","S. America"
"Botswana","Africa"
"Brazil","S. America"
"Bulgaria","C&E Europe"
"Burkina Faso","Africa"
"Cambodia","Asia-Pacific"
"Cameroon","Africa"
"Canada","N. America"
"Central African Republic","Africa"
"Chad","Africa"
"Chile","S. America"
"China","Asia-Pacific"
"Colombia","S. America"
"Comoros","Africa"
"Congo Brazzaville","Africa"
"Congo Kinshasa","Africa"
"Costa Rica","S. America"
"Croatia","C&E Europe"
"Cuba","S. America"
"Czech Republic","C&E Europe"
"Denmark","Scandinavia"
"Djibouti","Africa"
"Ecuador","S. America"
"Egypt","Middle East"
"El Salvador","S. America"
"Equatorial Guinea","Africa"
"Eritrea","Africa"
"Estonia","C&E Europe"
"Fiji","Asia-Pacific"
"Finland","Scandinavia"
"France","W. Europe"
"Gabon","Africa"
"Gambia","Africa"
"Georgia","C&E Europe"
"Germany","W. Europe"
"Ghana","Africa"
"Greece","W. Europe"
"Guatemala","S. America"
"Guinea","Africa"
"Guinea-Bissau","Africa"
"Guyana","S. America"
"Haiti","S. America"
"Honduras","S. America"
"Hungary","C&E Europe"
"India","Asia-Pacific"
"Indonesia","Asia-Pacific"
"Iran","Middle East"
"Iraq","Middle East"
"Ireland","W. Europe"
"Israel","Middle East"
"Italy","W. Europe"
"Jamaica","S. America"
"Japan","Asia-Pacific"
"Jordan","Middle East"
"Kazakhstan","C&E Europe"
"Kenya","Africa"
"Korea South","Asia-Pacific"
"Kuwait","Middle East"
"Kyrgyzstan","C&E Europe"
"Laos","Asia-Pacific"
"Latvia","C&E Europe"
"Lesotho","Africa"
"Liberia","Africa"
"Libya","Middle East"
"Lithuania","C&E Europe"
"Macedonia","C&E Europe"
"Madagascar","Africa"
"Malawi","Africa"
"Malaysia","Asia-Pacific"
"Mali","Africa"
"Mauritania","Africa"
"Mauritius","Africa"
"Mexico","N. America"
"Moldova","C&E Europe"
"Mongolia","Asia-Pacific"
"Morocco","Middle East"
"Mozambique","Africa"
"Namibia","Africa"
"Nepal","Asia-Pacific"
"Netherlands","W. Europe"
"New Zealand","Asia-Pacific"
"Nicaragua","S. America"
"Niger","Africa"
"Nigeria","Africa"
"Norway","Scandinavia"
"Oman","Middle East"
"Pakistan","Asia-Pacific"
"Papua New Guinea","Asia-Pacific"
"Paraguay","S. America"
"Peru","S. America"
"Philippines","Asia-Pacific"
"Poland","C&E Europe"
"Portugal","W. Europe"
"Qatar","Middle East"
"Romania","C&E Europe"
"Russia","C&E Europe"
"Rwanda","Africa"
"Saudi Arabia","Middle East"
"Senegal","Africa"
"Sierra Leone","Africa"
"Singapore","Asia-Pacific"
"Slovakia","C&E Europe"
"Slovenia","C&E Europe"
"Solomon Islands","Asia-Pacific"
"South Africa","Africa"
"Spain","W. Europe"
"Sri Lanka","Asia-Pacific"
"Sudan","Africa"
"Swaziland","Africa"
"Sweden","Scandinavia"
"Switzerland","W. Europe"
"Taiwan","Asia-Pacific"
"Tajikistan","C&E Europe"
"Tanzania","Africa"
"Thailand","Asia-Pacific"
"Togo","Africa"
"Tunisia","Middle East"
"Turkey","Middle East"
"Turkmenistan","C&E Europe"
"UAE","Middle East"
"Uganda","Africa"
"Ukraine","C&E Europe"
"United Kingdom","W. Europe"
"United States","N. America"
"Uruguay","S. America"
"Uzbekistan","C&E Europe"
"Venezuela","S. America"
"Vietnam","Asia-Pacific"
"Yemen","Middle East"
"Zambia","Africa"
"Zimbabwe","Africa"
